ward,year,item,category,location,cost
2,2012,Street Light Upgrade,Lighting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),4800
2,2012,Street Light Upgrade,Lighting,ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST (100 S),1400
2,2012,Street Light Upgrade,Lighting,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W),6400
2,2012,Street Light Upgrade,Lighting,1319 S STATE ST,21000
2,2012,Street Light Upgrade,Lighting,547 S CLARK ST,350
2,2012,Street Light Upgrade,Lighting,ON LAKE FROM N MOZART ST (2832 W) TO N SACRAMENTO BV (3000 W),8000
2,2012,Street Light Upgrade,Lighting,ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S CLAREMONT AV (2332 W),8000
2,2012,Street Light Upgrade,Lighting,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W),12000
2,2012,Street Light Upgrade,Lighting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),2000
2,2012,Street Light Upgrade,Lighting,ON SEELEY FROM W JACKSON BV (300 S) TO W VAN BUREN ST (400 S),1400
2,2012,Street Light Upgrade,Lighting,ON MONROE FROM S RACINE AV (1200 W) TO S GREEN ST (832 W),5250
2,2012,Street Light Upgrade,Lighting,ON VAN BUREN FROM S GREEN ST (832 W) TO W TILDEN ST (1124 W),5600
2,2012,Traffic Equipment,Misc.,ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN AV (2000 W),2400
2,2012,Traffic Equipment,Misc.,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),400
2,2012,Traffic Equipment,Misc.,ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST (1500 S),2750
2,2012,Traffic Equipment,Misc.,ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST (800 S),200
2,2012,Traffic Equipment,Misc.,ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT RD (1200 S),25650
2,2012,Traffic Equipment,Misc.,ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S DAMEN AV (2000 W),11000
2,2012,Traffic Equipment,Misc.,W ROOSEVELT RD & S WOOD ST,3500
2,2012,Traffic Equipment,Misc.,ON STATE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S),8000
2,2012,Traffic Equipment,Misc.,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S),19500
2,2012,Traffic Equipment,Misc.,ON ASHLAND FROM W MADISON ST (0 N) TO W ROOSEVELT RD (1200 S),5450
2,2012,Traffic Equipment,Misc.,W ROOSEVELT RD & S PAULINA ST,3500
2,2012,Traffic Equipment,Misc.,W ROOSEVELT RD & S ASHLAND W AVE,3500
2,2012,Traffic Equipment,Misc.,ON JEFFERSON FROM W MADISON ST (0 N) TO W ADAMS ST (200 S),1550
3,2012,Alley Apron Menu,Alleys,ON S MICHIGAN AVE FROM 4944 S TO E 49 ST (4900 S),8666
3,2012,Concrete Alley Menu,Alleys,1503 S State,216149
3,2012,Curb & Gutter Menu,Street Resurfacing,ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AV (44 E),51363
3,2012,Curb & Gutter Menu,Street Resurfacing,ON S PRINCETON AVE FROM W 48TH PL (4850 S) TO W 50TH ST (5000 S),23977
3,2012,In-Road 'State Law Stop For Pedestrians' Signs Menu,Pedestrian Infrastructure,S STATE ST & W 23RD ST,550
3,2012,Miscellaneous Other,Misc.,"4501-33 & 4524-50 S McDowell, & 1400 W 46th St Tree planting",14166
3,2012,Miscellaneous Other,Misc.,4434 S DR MARTIN LUTHER KING JR DR,413
3,2012,Miscellaneous Other,Misc.,4700 S LASALLE ST Decorative Plaza Planter Fencing,3370
3,2012,Miscellaneous Other,Misc.,E 43RD ST & S DR MARTIN LUTHER KING JR DR E two decorative baskets,680
3,2012,Miscellaneous Other,Misc.,8 decorative garbage cans decorative garbage cans,11450
3,2012,Pavement Markings,Street Redesign,W 46TH PL & S SHIELDS AVE,300
3,2012,Sidewalk Menu,Sidewalk Repair,ON S CALUMET AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S),11175
3,2012,Sidewalk Menu,Sidewalk Repair,ON W SWANN ST FROM S PRINCETON AV (300 W) TO S SHIELDS AV (328 W),643
